"REF_DATE","GEO","DGUID","Labour force characteristics","National Occupational Classification (NOC)","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","5.8","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","5.9","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","8.4","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","13.5","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","13.8","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","11.9","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","11.2","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","11.0","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","8.4","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","8.1","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Total, all occupations","Both sexes","Percentage","242","units","0","v102040288","1.6.1.1","8.0","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","6.4","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","6.5","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","8.3","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","14.0","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","13.6","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","11.2","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","10.9","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","10.2","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","8.4","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","8.3","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Total, all occupations","Males","Percentage","242","units","0","v102040289","1.6.1.2","8.3","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","5.2","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","5.1","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","8.6","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","12.9","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","14.0","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","12.6","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","11.6","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","11.9","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","8.4","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","8.0","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Total, all occupations","Females","Percentage","242","units","0","v102040290","1.6.1.3","7.6","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","1.4","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","1.9","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","2.4","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","4.4","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","4.6","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","3.6","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","4.0","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","3.5","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","3.0","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","2.9","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Both sexes","Percentage","242","units","0","v102040291","1.6.2.1","2.3","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","1.3","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","1.9","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","2.3","","","","1"
"2020-04","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","3.9","","","","1"
"2020-05","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","4.0","","","","1"
"2020-06","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","3.0","","","","1"
"2020-07","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","4.2","","","","1"
"2020-08","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","3.7","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","3.3","","","","1"
"2020-10","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","2.7","","","","1"
"2020-11","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Males","Percentage","242","units","0","v102040292","1.6.2.2","2.7","","","","1"
"2020-01","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Females","Percentage","242","units","0","v102040293","1.6.2.3","1.6","","","","1"
"2020-02","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Females","Percentage","242","units","0","v102040293","1.6.2.3","1.9","","","","1"
"2020-03","Canada","2016A000011124","Unemployment rate","Management occupations [0]","Females","Percentage","242","units","0","v102040293","1.6.2.3","2.7","","","","1"
